CaseID,WEIGHT,PROVINCP,PCRUR,PCSIZEP,TYPDWELP,TENURYRP,RPINCTOT,RPMARP,RPAGEGRP,RPSEX,RPWEEKFT,RPWEEKPT,RPHIGHED,RPDISABL,SPINCTOT,SPAGEGRP,SPSEXP,SPWEEKFT,SPWEEKPT,SPHIGHED,SPDISABL,HHTYPEP,CH04TOIP,NMCH0517,NMYT1824,NMAD2564,SE65TOIP,HHSZTOTP,AGEYOUNP,NUMFTP,NUMPTP,HHINCTOT,TOTEXP
783.0,1674.0,48.0,1.0,1.0,1.0,2.0,91000.0,3.0,9.0,2.0,52.0,0.0,7.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,91000.0,47627.0
785.0,2396.0,48.0,1.0,1.0,1.0,2.0,71000.0,1.0,1.0,2.0,52.0,0.0,7.0,0.0,85000.0,2.0,1.0,52.0,0.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,99.0,2.0,0.0,160000.0,83563.0
786.0,68.0,60.0,1.0,2.0,1.0,3.0,38000.0,2.0,4.0,2.0,20.0,0.0,1.0,1.0,,,,,,,,6.0,0.0,1.0,1.0,1.0,1.0,4.0,16.0,0.0,2.0,61000.0,45736.0
787.0,309.0,13.0,1.0,2.0,1.0,1.0,28000.0,3.0,11.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,28000.0,21121.0
788.0,6546.0,35.0,1.0,1.0,1.0,1.0,50000.0,1.0,5.0,2.0,52.0,0.0,5.0,0.0,80000.0,5.0,1.0,52.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,5.0,13.0,2.0,0.0,130000.0,55595.0
789.0,2312.0,24.0,1.0,2.0,1.0,1.0,19000.0,1.0,13.0,1.0,0.0,0.0,1.0,0.0,9300.0,11.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,99.0,0.0,0.0,28000.0,44470.0
790.0,214.0,10.0,1.0,2.0,1.0,3.0,34000.0,3.0,6.0,2.0,52.0,0.0,5.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,34000.0,25719.0
791.0,368.0,12.0,1.0,2.0,1.0,1.0,76000.0,1.0,6.0,2.0,52.0,0.0,7.0,1.0,31000.0,5.0,1.0,45.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,9.0,1.0,1.0,110000.0,60963.0
792.0,20.0,60.0,1.0,2.0,1.0,3.0,45000.0,3.0,6.0,1.0,36.0,0.0,3.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,0.0,1.0,45000.0,39417.0
793.0,1399.0,35.0,1.0,1.0,1.0,2.0,28000.0,3.0,6.0,2.0,52.0,0.0,3.0,0.0,,,,,,,,5.0,0.0,1.0,1.0,1.0,0.0,3.0,12.0,1.0,0.0,28000.0,47568.0
